r3b,0,0.804,0.606,0.053,0.252,0.089
agglo,0,0.841,0.628,0.033,0.320,0.019
edge_no_time,0,0.823,0.631,0.070,0.254,0.045
edge_with_time,0,0.891,0.755,0.046,0.181,0.018
agglo_edge,0,0.911,0.817,0.051,0.118,0.014
r3b_edge,0,0.823,0.677,0.088,0.163,0.073
r3b,0,0.804,0.606,0.053,0.252,0.089
agglo,0,0.841,0.628,0.033,0.320,0.019
edge_no_time,0,0.823,0.629,0.068,0.259,0.044
edge_with_time,0,0.893,0.759,0.045,0.179,0.017
agglo_edge,0,0.912,0.820,0.051,0.114,0.015
r3b_edge,0,0.824,0.676,0.087,0.165,0.073
r3b,0,0.804,0.606,0.053,0.252,0.089
agglo,0,0.841,0.628,0.033,0.320,0.019
edge_no_time,0,0.822,0.634,0.076,0.244,0.047
edge_with_time,0,0.892,0.749,0.036,0.200,0.015
agglo_edge,0,0.910,0.813,0.050,0.121,0.016
r3b_edge,0,0.824,0.680,0.092,0.157,0.070
r3b,0,0.804,0.606,0.053,0.252,0.089
agglo,0,0.841,0.628,0.033,0.320,0.019
edge_no_time,0,0.823,0.630,0.071,0.252,0.046
edge_with_time,0,0.892,0.746,0.032,0.208,0.015
agglo_edge,0,0.912,0.820,0.051,0.113,0.016
r3b_edge,0,0.823,0.673,0.082,0.166,0.079
r3b,0,0.804,0.606,0.053,0.252,0.089
agglo,0,0.841,0.628,0.033,0.320,0.019
edge_no_time,0,0.823,0.632,0.071,0.251,0.046
edge_with_time,0,0.894,0.754,0.038,0.193,0.015
agglo_edge,0,0.911,0.816,0.050,0.118,0.016
r3b_edge,0,0.824,0.677,0.088,0.160,0.075
r3b,0,0.804,0.606,0.053,0.252,0.089
agglo,0,0.841,0.628,0.033,0.320,0.019
edge_no_time,0,0.823,0.637,0.077,0.239,0.047
edge_with_time,0,0.893,0.752,0.035,0.198,0.015
agglo_edge,0,0.911,0.816,0.049,0.120,0.015
r3b_edge,0,0.823,0.677,0.088,0.161,0.073
r3b,0,0.804,0.606,0.053,0.252,0.089
agglo,0,0.841,0.628,0.033,0.320,0.019
edge_no_time,0,0.823,0.634,0.073,0.246,0.047
edge_with_time,0,0.892,0.757,0.043,0.182,0.018
agglo_edge,0,0.910,0.814,0.050,0.121,0.015
r3b_edge,0,0.823,0.672,0.083,0.167,0.078
r3b,0,0.804,0.606,0.053,0.252,0.089
agglo,0,0.841,0.628,0.033,0.320,0.019
edge_no_time,0,0.824,0.637,0.076,0.240,0.046
edge_with_time,0,0.892,0.753,0.039,0.192,0.016
agglo_edge,0,0.912,0.819,0.050,0.115,0.015
r3b_edge,0,0.823,0.674,0.083,0.166,0.078
r3b,0,0.804,0.606,0.053,0.252,0.089
agglo,0,0.841,0.628,0.033,0.320,0.019
edge_no_time,0,0.822,0.637,0.079,0.236,0.048
edge_with_time,0,0.893,0.747,0.033,0.205,0.014
agglo_edge,0,0.912,0.817,0.051,0.117,0.015
r3b_edge,0,0.824,0.680,0.091,0.158,0.070
r3b,0,0.804,0.606,0.053,0.252,0.089
agglo,0,0.841,0.628,0.033,0.320,0.019
edge_no_time,0,0.824,0.637,0.075,0.243,0.045
edge_with_time,0,0.893,0.746,0.030,0.211,0.014
agglo_edge,0,0.910,0.813,0.049,0.123,0.016
r3b_edge,0,0.823,0.673,0.085,0.168,0.074
